symbol,timestamp,open,high,low,close,volume,trade_count,vwap
XOM,2026-01-29 22:00:00+00:00,140.6437,141.0,140.55,141.0,3655.0,114.0,140.782975
XOM,2026-01-29 22:30:00+00:00,140.5685,140.8,140.51,140.6939,19103.0,101.0,140.615736
XOM,2026-01-29 23:00:00+00:00,140.6499,140.6499,140.3101,140.46,3749.0,68.0,140.536407
XOM,2026-01-29 23:30:00+00:00,140.45,140.688,140.44,140.5583,6106.0,64.0,140.499634
XOM,2026-01-30 00:00:00+00:00,140.5584,140.56,140.425,140.5,3398.0,39.0,140.522095
XOM,2026-01-30 00:30:00+00:00,140.5,140.56,140.41,140.56,2754.0,25.0,140.430408
XOM,2026-01-30 09:00:00+00:00,136.88,137.22,136.01,136.95,19942.0,458.0,136.942184
XOM,2026-01-30 09:30:00+00:00,136.8,137.0,135.62,135.7,25643.0,351.0,136.572235
XOM,2026-01-30 10:00:00+00:00,135.56,135.99,135.56,135.57,8405.0,254.0,135.71271
XOM,2026-01-30 10:30:00+00:00,135.7,137.28,135.7,137.04,9555.0,334.0,136.490059
XOM,2026-01-30 11:00:00+00:00,137.2,137.56,137.16,137.2,5908.0,158.0,137.332922
XOM,2026-01-30 11:30:00+00:00,137.01,137.7,136.88,137.52,3811.0,168.0,137.282227
XOM,2026-01-30 12:00:00+00:00,137.85,138.8,137.67,137.87,12491.0,393.0,138.126178
XOM,2026-01-30 12:30:00+00:00,137.88,138.34,137.88,138.15,4241.0,200.0,138.217894
XOM,2026-01-30 13:00:00+00:00,138.0,140.3,135.28,140.26,170243.0,3678.0,137.711018
XOM,2026-01-30 13:30:00+00:00,140.01,140.23,138.19,138.54,74050.0,1167.0,139.196495
XOM,2026-01-30 14:00:00+00:00,138.45,139.02,137.5,138.68,55529.0,1471.0,138.352815
XOM,2026-01-30 14:30:00+00:00,138.74,140.17,138.355,139.27,3120590.0,46883.0,139.250571
XOM,2026-01-30 15:00:00+00:00,139.295,139.74,138.63,139.02,1410417.0,25534.0,139.190463
XOM,2026-01-30 15:30:00+00:00,139.015,139.99,138.92,139.71,1489995.0,23968.0,139.558621
XOM,2026-01-30 16:00:00+00:00,139.695,139.9,139.155,139.86,1193062.0,20080.0,139.501471
XOM,2026-01-30 16:30:00+00:00,139.8586,139.9899,139.42,139.595,1089824.0,16924.0,139.704396
XOM,2026-01-30 17:00:00+00:00,139.6,139.67,137.83,137.97,1470896.0,25261.0,138.828942
XOM,2026-01-30 17:30:00+00:00,137.99,138.655,137.92,138.2526,1610825.0,25220.0,138.314894
XOM,2026-01-30 18:00:00+00:00,138.2699,138.77,137.975,138.33,1187184.0,20734.0,138.386347
XOM,2026-01-30 18:30:00+00:00,138.35,140.03,137.96,139.42,1461272.0,24432.0,139.21216
XOM,2026-01-30 19:00:00+00:00,139.42,140.49,139.3,140.05,1289983.0,19360.0,140.131341
XOM,2026-01-30 19:30:00+00:00,140.02,140.9699,140.01,140.28,1223158.0,19410.0,140.580898
XOM,2026-01-30 20:00:00+00:00,140.27,141.075,140.19,140.9,1183887.0,18163.0,140.805555
XOM,2026-01-30 20:30:00+00:00,140.89,142.205,140.8,141.63,5247383.0,61163.0,141.516185
XOM,2026-01-30 21:00:00+00:00,141.64,141.79,141.0596,141.75,4532248.0,459.0,141.400292
XOM,2026-01-30 21:30:00+00:00,141.74,141.89,141.41,141.5955,24420.0,318.0,141.711591
XOM,2026-01-30 22:00:00+00:00,141.9172,141.9172,141.58,141.6795,4309.0,75.0,141.771889
XOM,2026-01-30 22:30:00+00:00,141.7,141.7,141.6,141.69,8876.0,32.0,141.684253
XOM,2026-01-30 23:00:00+00:00,141.68,141.7,141.63,141.7,11616.0,33.0,141.640646
XOM,2026-01-30 23:30:00+00:00,141.63,141.7,141.6,141.6,2587.0,41.0,141.637596
